arm,roc_auc,pr_auc,log_loss,brier_score,accuracy,precision,recall,f1
cellular,0.6620767550720359,0.7229922738312555,0.7317491961022841,0.25940934508831753,0.5844311377245509,0.5877364644487932,0.9356178608515057,0.7219551282051282
telephone,0.5957652060170046,0.424276039971027,0.6296806507698075,0.20501678975248086,0.7525773195876289,0.6521739130434783,0.2727272727272727,0.38461538461538464
