braco_recomendado,n_recomendacoes,pct_recomendacoes,reward_estimado_lints,reward_estimado_baseline,lift_absoluto_estimado,lift_relativo_estimado,match_rate,reward_observado_matches
cellular,1765,0.8576287657920311,0.7306897031298141,0.7306897031298141,0.0,0.0,0.8022662889518414,0.5713276836158192
telephone,293,0.1423712342079689,0.5916906423939441,0.8003497365959289,-0.2086590942019848,-0.2607098930143462,0.13310580204778158,0.23076923076923078
